__defaultPointSize,__nodeid__,__pointCommunity,_title,degree,degree_in,degree_out,x,y,pointColor
76,12444696,0,12444696,4,0,4,136.82757568359375,-37.58982849121094,-5845277
22,"<div class=""video-container"" data-video=""mfFgr6q52wg"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=mfFgr6q52wg"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/mfFgr6q52wg/0.jpg"" class=""post-image""/></a></div>",0,"<div class=""video-container"" data-video=""mfFgr6q52wg"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=mfFgr6q52wg"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/mfFgr6q52wg/0.jpg"" class=""post-image""/></a></div>",1,1,0,130.9339599609375,-34.71639633178711,-5845277
22,"<div class=""video-container"" data-video=""4vpm63bZYuo"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=4vpm63bZYuo"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/4vpm63bZYuo/0.jpg"" class=""post-image""/></a></div>",0,"<div class=""video-container"" data-video=""4vpm63bZYuo"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=4vpm63bZYuo"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/4vpm63bZYuo/0.jpg"" class=""post-image""/></a></div>",1,1,0,142.2160186767578,-40.52267074584961,-5845277
22,"<div class=""video-container"" data-video=""1N6R0RpgTB4"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=1N6R0RpgTB4"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/1N6R0RpgTB4/0.jpg"" class=""post-image""/></a></div>",0,"<div class=""video-container"" data-video=""1N6R0RpgTB4"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=1N6R0RpgTB4"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/1N6R0RpgTB4/0.jpg"" class=""post-image""/></a></div>",1,1,0,133.55545043945312,-43.204833984375,-5845277
22,"<div class=""video-container"" data-video=""LO1mTELoj6o"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://youtu.be/LO1mTELoj6o"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/LO1mTELoj6o/0.jpg"" class=""post-image""/></a></div>",0,"<div class=""video-container"" data-video=""LO1mTELoj6o"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://youtu.be/LO1mTELoj6o"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/LO1mTELoj6o/0.jpg"" class=""post-image""/></a></div>",1,1,0,138.6955108642578,-31.522485733032227,-5845277
22,13566837,6,13566837,1,0,1,73.73347473144531,8.828878402709961,-147601
22,"<div class=""video-container"" data-video=""4EA9p9K1siA"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=4EA9p9K1siA"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/4EA9p9K1siA/0.jpg"" class=""post-image""/></a></div>",6,"<div class=""video-container"" data-video=""4EA9p9K1siA"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=4EA9p9K1siA"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/4EA9p9K1siA/0.jpg"" class=""post-image""/></a></div>",1,1,0,70.5030746459961,10.040096282958984,-147601
255,13388971,7,13388971,14,0,14,-11.155073165893555,-76.61323547363281,-33024
22,"<div class=""video-container"" data-video=""uXmcIrZM1U"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=uXmcIrZM1U"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/uXmcIrZM1U/0.jpg"" class=""post-image""/></a></div>",7,"<div class=""video-container"" data-video=""uXmcIrZM1U"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=uXmcIrZM1U"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/uXmcIrZM1U/0.jpg"" class=""post-image""/></a></div>",1,1,0,-1.787334680557251,-83.86347198486328,-33024
22,"<div class=""video-container"" data-video=""uXmcIrZM1U8"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=uXmcIrZM1U8"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/uXmcIrZM1U8/0.jpg"" class=""post-image""/></a></div>",7,"<div class=""video-container"" data-video=""uXmcIrZM1U8"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=uXmcIrZM1U8"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/uXmcIrZM1U8/0.jpg"" class=""post-image""/></a></div>",1,1,0,-0.12805980443954468,-78.70565795898438,-33024
22,"<div class=""video-container"" data-video=""V_UJn64ar4k"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=V_UJn64ar4k"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/V_UJn64ar4k/0.jpg"" class=""post-image""/></a></div>",7,"<div class=""video-container"" data-video=""V_UJn64ar4k"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=V_UJn64ar4k"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/V_UJn64ar4k/0.jpg"" class=""post-image""/></a></div>",1,1,0,-21.929841995239258,-73.01408386230469,-33024
22,"<div class=""video-container"" data-video=""aiy8GJHlozA"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=aiy8GJHlozA"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/aiy8GJHlozA/0.jpg"" class=""post-image""/></a></div>",7,"<div class=""video-container"" data-video=""aiy8GJHlozA"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=aiy8GJHlozA"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/aiy8GJHlozA/0.jpg"" class=""post-image""/></a></div>",1,1,0,-3.1043689250946045,-69.95835876464844,-33024
22,"<div class=""video-container"" data-video=""exs2D9jMg6I"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=exs2D9jMg6I"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/exs2D9jMg6I/0.jpg"" class=""post-image""/></a></div>",7,"<div class=""video-container"" data-video=""exs2D9jMg6I"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=exs2D9jMg6I"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/exs2D9jMg6I/0.jpg"" class=""post-image""/></a></div>",1,1,0,1.0475460290908813,-73.24669647216797,-33024
22,"<div class=""video-container"" data-video=""o1vwP4Vsjf0"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=o1vwP4Vsjf0"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/o1vwP4Vsjf0/0.jpg"" class=""post-image""/></a></div>",7,"<div class=""video-container"" data-video=""o1vwP4Vsjf0"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=o1vwP4Vsjf0"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/o1vwP4Vsjf0/0.jpg"" class=""post-image""/></a></div>",1,1,0,-16.93280792236328,-86.79666137695312,-33024
22,"<div class=""video-container"" data-video=""mvTO7yYAr_M"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=mvTO7yYAr_M"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/mvTO7yYAr_M/0.jpg"" class=""post-image""/></a></div>",7,"<div class=""video-container"" data-video=""mvTO7yYAr_M"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=mvTO7yYAr_M"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/mvTO7yYAr_M/0.jpg"" class=""post-image""/></a></div>",1,1,0,-6.259631156921387,-87.10131072998047,-33024
22,"<div class=""video-container"" data-video=""--0zLNUmhRI"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=--0zLNUmhRI"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/--0zLNUmhRI/0.jpg"" class=""post-image""/></a></div>",7,"<div class=""video-container"" data-video=""--0zLNUmhRI"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=--0zLNUmhRI"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/--0zLNUmhRI/0.jpg"" class=""post-image""/></a></div>",1,1,0,-5.103529930114746,-65.15987396240234,-33024
22,"<div class=""video-container"" data-video=""FQHtY59PuuE"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=FQHtY59PuuE"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/FQHtY59PuuE/0.jpg"" class=""post-image""/></a></div>",7,"<div class=""video-container"" data-video=""FQHtY59PuuE"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=FQHtY59PuuE"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/FQHtY59PuuE/0.jpg"" class=""post-image""/></a></div>",1,1,0,-10.528251647949219,-64.80924987792969,-33024
22,"<div class=""video-container"" data-video=""Vof5u4kl6NM"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=Vof5u4kl6NM"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/Vof5u4kl6NM/0.jpg"" class=""post-image""/></a></div>",7,"<div class=""video-container"" data-video=""Vof5u4kl6NM"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=Vof5u4kl6NM"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/Vof5u4kl6NM/0.jpg"" class=""post-image""/></a></div>",1,1,0,-15.52712631225586,-65.7336196899414,-33024
22,"<div class=""video-container"" data-video=""J39by4tMzE8"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=J39by4tMzE8"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/J39by4tMzE8/0.jpg"" class=""post-image""/></a></div>",7,"<div class=""video-container"" data-video=""J39by4tMzE8"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=J39by4tMzE8"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/J39by4tMzE8/0.jpg"" class=""post-image""/></a></div>",1,1,0,-20.779150009155273,-82.95008850097656,-33024
22,"<div class=""video-container"" data-video=""AOaLIIxxQlQ"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""http://www.youtube.com/watch?v=AOaLIIxxQlQ"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/AOaLIIxxQlQ/0.jpg"" class=""post-image""/></a></div>",7,"<div class=""video-container"" data-video=""AOaLIIxxQlQ"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""http://www.youtube.com/watch?v=AOaLIIxxQlQ"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/AOaLIIxxQlQ/0.jpg"" class=""post-image""/></a></div>",1,1,0,-11.606658935546875,-88.21501922607422,-33024
22,"<div class=""video-container"" data-video=""gzG6E1Y-s3A"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=gzG6E1Y-s3A"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/gzG6E1Y-s3A/0.jpg"" class=""post-image""/></a></div>",7,"<div class=""video-container"" data-video=""gzG6E1Y-s3A"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=gzG6E1Y-s3A"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/gzG6E1Y-s3A/0.jpg"" class=""post-image""/></a></div>",1,1,0,-23.2828369140625,-78.11436462402344,-33024
22,"<div class=""video-container"" data-video=""JMViRj6pn5w"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=JMViRj6pn5w"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/JMViRj6pn5w/0.jpg"" class=""post-image""/></a></div>",7,"<div class=""video-container"" data-video=""JMViRj6pn5w"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=JMViRj6pn5w"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/JMViRj6pn5w/0.jpg"" class=""post-image""/></a></div>",1,1,0,-20.21030044555664,-68.08300018310547,-33024
22,0,23,0,1,0,1,-100.1642074584961,110.74344635009766,-5154520
22,"<div class=""video-container"" data-video=""DNbPDunX7Tk"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=DNbPDunX7Tk"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/DNbPDunX7Tk/0.jpg"" class=""post-image""/></a></div>",23,"<div class=""video-container"" data-video=""DNbPDunX7Tk"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=DNbPDunX7Tk"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/DNbPDunX7Tk/0.jpg"" class=""post-image""/></a></div>",1,1,0,-97.15304565429688,112.35237884521484,-5154520
22,13444555,25,13444555,1,0,1,-74.7430648803711,68.07492065429688,-14714700
22,"<div class=""video-container"" data-video=""ioZfQsGZKlQ"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=ioZfQsGZKlQ"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/ioZfQsGZKlQ/0.jpg"" class=""post-image""/></a></div>",25,"<div class=""video-container"" data-video=""ioZfQsGZKlQ"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=ioZfQsGZKlQ"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/ioZfQsGZKlQ/0.jpg"" class=""post-image""/></a></div>",1,1,0,-78.09854888916016,67.16992950439453,-14714700
40,13473147,26,13473147,2,0,2,-141.4692840576172,10.397107124328613,-5054582
22,"<div class=""video-container"" data-video=""B7SQbidTTk0"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=B7SQbidTTk0"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/B7SQbidTTk0/0.jpg"" class=""post-image""/></a></div>",26,"<div class=""video-container"" data-video=""B7SQbidTTk0"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=B7SQbidTTk0"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/B7SQbidTTk0/0.jpg"" class=""post-image""/></a></div>",1,1,0,-145.83883666992188,9.148725509643555,-5054582
22,"<div class=""video-container"" data-video=""OnLEr3wJqIg"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=OnLEr3wJqIg"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/OnLEr3wJqIg/0.jpg"" class=""post-image""/></a></div>",26,"<div class=""video-container"" data-video=""OnLEr3wJqIg"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://www.youtube.com/watch?v=OnLEr3wJqIg"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/OnLEr3wJqIg/0.jpg"" class=""post-image""/></a></div>",1,1,0,-136.78517150878906,11.273736000061035,-5054582
40,13489676,29,13489676,2,0,2,-72.59428405761719,12.05881118774414,-1893860
22,"<div class=""video-container"" data-video=""H4k2XlaU8Ws"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://youtu.be/H4k2XlaU8Ws"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/H4k2XlaU8Ws/0.jpg"" class=""post-image""/></a></div>",29,"<div class=""video-container"" data-video=""H4k2XlaU8Ws"" data-params=""&&""><span class=""unimportant yt-help"">YouTube embed. Click thumbnail to play.</span><br><a href=""https://youtu.be/H4k2XlaU8Ws"" target=""_blank"" class=""file""><img style=""width:255px"" src=""//img.youtube.com/vi/H4k2XlaU8Ws/0.jpg"" class=""post-image""/></a></div>",1,1,0,-77.20596313476562,12.091955184936523,-1893860
